Store,Area,Zone,Sku,Qty
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,656512,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,932145,0001
071,02,108,932145,0001
071,02,108,932145,0001
071,02,108,932145,0001
071,02,108,932145,0001
071,02,108,827345,0001
071,02,108,932202,0001
071,02,108,827253,0001
071,02,108,827345,0001
071,02,108,827345,0001
071,02,108,827345,0001
071,02,108,932145,0001
071,02,108,932202,0001
071,02,108,932202,0001
071,02,201,767541,0001
071,02,201,767558,0001
071,02,201,767624,0001
071,02,201,767624,0001
071,02,201,607051,0001
071,02,201,767624,0001
071,02,201,767558,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607069,0001
071,02,201,607069,0001
071,02,201,607051,0001
071,02,201,607069,0001
071,02,201,607085,0001
071,02,201,607051,0001
071,02,201,767624,0001
071,02,201,607069,0001
071,02,201,767541,0001
071,02,201,767541,0001
071,02,201,767566,0001
071,02,201,767566,0001
071,02,201,767566,0001
071,02,201,767541,0001
071,02,201,607333,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607085,0001
071,02,201,607085,0001
071,02,201,607333,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607069,0001
071,02,201,772145,0001
071,02,201,607051,0001
071,02,201,607077,0001
071,02,201,607051,0001
071,02,201,607077,0001
071,02,201,607077,0001
071,02,201,607077,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607085,0001
071,02,201,767541,0001
071,02,201,772038,0001
071,02,201,767566,0001
071,02,201,767541,0001
071,02,201,767558,0001
071,02,201,767624,0001
071,02,201,767566,0001
071,02,201,767566,0001
071,02,201,767566,0001
071,02,201,767541,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,767558,0001
071,02,201,767541,0001
071,02,201,767558,0001
071,02,201,767558,0001
071,02,201,767566,0001
071,02,201,767566,0001
071,02,201,767541,0001
071,02,201,767558,0001
071,02,201,767558,0001
071,02,201,767558,0001
071,02,201,767558,0001
071,02,201,767566,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607051,0001
071,02,201,607077,0001
071,02,201,767558,0001
071,02,202,772038,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,767574,0001
071,02,202,767574,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,989129,0001
071,02,202,772038,0001
071,02,202,989004,0001
071,02,202,989004,0001
071,02,202,989269,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767558,0001
071,02,202,767558,0001
071,02,202,767558,0001
071,02,202,767558,0001
071,02,202,767616,0001
071,02,202,772145,0001
071,02,202,772145,0001
071,02,202,772145,0001
071,02,202,772111,0001
071,02,202,767574,0001
071,02,202,767624,0001
071,02,202,767624,0001
071,02,202,767566,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767574,0001
071,02,202,767574,0001
071,02,202,772087,0001
071,02,202,772087,0001
071,02,202,772087,0001
071,02,202,772087,0001
071,02,202,772160,0001
071,02,202,767566,0001
071,02,202,767558,0001
